Ticket,Date,Location,Company Complaining About,Description
# 3795132 - Strip Tease and Masturbation Not Family Friendly,2/ 2/2020 10:06:51 PM,"Vacaville, California 95696",,The Super Bowl is promoted as family friendly entertainment. Besides prior nudity this year they had st ripper poles and on stage masturbation on display. Countless children watch this from an industry that is beyond culpable in human trafficking.
# 3795145 - Super bowl halftime show,2/2/2020 10:20:53 PM,"West Chester, Pennsylvania 19380",Comcast,"I was watching with my wife and two daughters and it was completely inappropriate. The lack of cl othing, moves (crotch grabbing for example), and the overall show was an embarrassment."
# 3795147 - Disgusting Super Bowl 54 Half Time Show,2/2/2020 10:22:33 PM,"Atlanta, Georgia 30329",,"The 54 Super Bowl Half Time Show with Shakira and JLos was disgusting. Their overly sexy dancing, full crotch shots, spreading their legs was tasteless. This was club dancing, not a show for a family - watched sporting event. They were performing at the Super Bowl Half Tim, not giving a concert for their fans. I'm shocked their performances were allowed. This was offensive and tasteless."
# 3795150 - Super bowl halftime JLo,2/2/2020 10:23:54 PM,"Clearwater, Florida 33767",Spectrum,You have allowed the extreme objectivity of women as sexual eye candy for your male football viewers into my living room while wat ching with my adolescent daughters. This is disgusting. It was
# 3795154 - Indecency on Superbowl half - time show,2/2/2020 10:26:47 PM,"Manor, Texas 78653",None,There were people in lingerie doing pole dances on the Superbowl half - time show. This is completely unacceptable and a poor reflection on our country.
# 3795155 - Superbowl Halftime Show Inappropriate and degrading,2/2/2020 10:27:00 PM,"Mechanicsville, Virginia 23111",,"With a ll the uplifting advertisements attempting to raise the spirits, hearts and ambitions of women (football playing and coaching, space coding, etc ) why is the NFL permitted to then exploit our newfound attention with vulgar gyrations, peeks at private part s or at least the appearance of such peeks and to add the final dagger.....pole dancing. What part of such displays makes women appear anything more than meat? It is a sad commentary at minimum. Had a man attempted to appear in bottomless chaps and a thong it never would have made it on air.....yet when Jennifer Lopez does it....it airs? It's truly sad a woman of such beauty, talent and ability was either exploited or exploiting. Either way, it should not have aired."
# 3795157 - Super Bowl half time show,2/2/2020 10:28:30 PM,"Raleigh, North Carolina 27603",AT&T,The Super Bowl half time show was inappropriate for all audiences. The Super Bowl is advertised for families and yet the half time show was directed at adult men. A s a woman I was offended and as a mother to young boys I was offended.
# 3795166 - Super Bowl halftime show,2/2/2020 10:43:02 PM,"Temperance, Mich igan 48182",,How is a strip club act allowed as a half time show on the biggest watched game of the year? Absolutely pornographic and you need to crack down on this iss ue as it has only gotten worse. This
# 3795167 - Super Bowl halftime show,2/2/2020 10:43:39 PM,"Temperance, Michigan 48 182",,How is a strip club act allowed as a half time show on the biggest watched game of the year? Absolutely pornographic and you need to crack down on this issue as i t has only gotten worse. This
# 3795175 - Superbowl Halftime Show 2020,2/2/2020 10:49:10 PM,"Monroe Twp, New Jersey 08831",,"year was a disgrace. Parents and children a re watching this program and the halftime show was nothing but a gyrating, pole dancing, lingerie show. How is that appropriate for public viewers? There are young, impressionable children watching the Superbowl with family and friends and this indecent performance comes on? Why would this type of choreography even be approved on a family program? There was no public warning given about the indecent nature about to be seen on rated than adults/parents need fair warning about the indecent nature of the content of the program. Please address this so this does not happen again. The halftime shows have been going downhill due to similar concerns like this, but this year was just aweful and is beyond inappropriate for family viewing. Please help protect the public, especially our children. Thank you."
# 3795180 - Super Bowl Halftime Show,2/2/2020 10:56:20 PM,"Zionsville, Indiana 46077",AT&T,"Open chaps, crotch shots, and sexually suggestive dancing are all fine but not during a family show"
# 3795188 - NFL Superbowl halftime show,2/2/2020 11:04:08 PM,"Naples, Illinois 60448",Not Applicable,"I don't understand how it is a ppropriate for Jennifer Lopez's ass to be in the faces of my children during the Superbowl halftime show. What is wrong with FOX and the NFL and frankly, the FCC for allowing this? JLo was not only wearing a thong but bent over and showed her whole butt to the camera. Also, FOX cameramen kept zooming in on her crotch throughout her performance AND at one point her backup dancers were simulating an orgy while she writhed around on a stripper pole. How is this family programming in prime time? If that doesn't violate standards of decency then there are no standards of decency. You should investigate and fine Fox for this. See this gross display here https://twitter.com/"
# 3795191 - indecency with super bowl halftime performance,2/2/2020 11:12:30 PM,"Murfreesboro, Tennessee 37129",,- called
# 3795198 - Super Bowl Half - Time Show,2/2/2020 11:31:02 PM,"Issaquah, Washington 98027",,"My fa mily was very excited to watch the Super Bowl tonight. However, I was not prepared to explain to my 11 yo daughter why Jennifer Lopez was dressed so scantily or why she kept grabbing her crotch. My daughter was asking if she was feeling sick from having so much skin showing. Maybe next year the NFL can warn parents the show may not be appropriate for children so we can have them leave the room."
# 3795203 - half time super bowl indecency,2/2/2020 11:32:42 PM,"West Des Moines, Iowa 50265",,Super bowl should be family friendly. The half time show was an embarrass ment.
# 3795206 - Half time show,2/2/2020 11:34:55 PM,"Grovertown, Indiana 46531",,The super bowl half time show was gross I am 50 and ashamed i saw that evil crap on tv . What about all the children that watched that. Then j lo had the American fla g touch the ground. There should millions of dollars in fines.
# 3795227 - Superbowl halftime show,2/2/2020 11:53:36 PM,"Layton, Utah 84041",,"Do we really need to tell the performers that kids watch this game? Set some wardrobe and entertainment standards. I shouldn't feel like I've been thrust into an adult clu b while waiting for the game to resume. If you can't manage to rein in the superstars, maybe we should just go back to marching bands performing for halftime. The indecency is getting ridiculous."
# 3795228 - Super Bowl 2020 Half Time Show,2/2/2020 11:53:37 PM,"Raleigh, North Carolina 27609",Pepsi And Fox,"The Half time show tonight on the Super Bowl was highly offensive, vulgar, obscene, degrading to women especially, and men. How dare they show a woman humping on the floor in front of the feet of a man? The Super Bowl is watched by fa milies and Americans of all ages. The actions of the entertainers were appalling and not worthy of a cheap Las Vegas nightclub. We should not have to be subject to this and corrections need to be made. This show ruined the Super Bowl for me and my fami ly. I will never buy Pepsi products again."
# 3795230 - Super Bowl Halftime Show 2020,2/2/2020 11:56:15 PM,"Knoxville, Tennessee 37920",,It is a shame that some of us are subject to this indecent type of so called entertainment!! The show seemed more like a stripper club act. Seriously???? It was not appropriate for children. I will not watch the super bowl again!
# 3795232 - Super bowl halftime show,2/3/2020 12:01:46 AM,"Fayetteville, Georgia 30215",Comcast,Halftime super bowl show was trashy and insinuated too sexuality for prime time. How was that show suitable for family and younger children?
# 3795236 - NFL Superbowl Halftime show,2/3/2020 12:10:01 AM,"Evansville, Indiana 47711",,This was indecent and offensive.
# 3795243 - Pornographic Halftime Show Super Bowl,2/3/2020 12:12:12 AM,"Henrietta, Texas 76365",,The halftime show at the Super Bowl was filled with sexual dances and stripper poles. Cameras were zoomed in on strippers barely covered genitalia. It made a mockery of the sex trafficking issue around the event and chi ldren had to leave the room within moments of the performance starting. The oral sex licking innuendo by one of the dancers was not what a reasonable person would think is fit for general broadcast.
# 3795252 - Super Bowl Halftime Show,2/3/2020 12:22:42 AM,"White Pine, Tennessee 37890",,"The halftime show was indecent for prime time television. What a disgrace to young women or anyone watching for that matter! Would love to see some real talent wearing decent, non - sexually revealing clothes! This show was nothing but a pole da nce. I would like to be able to enjoy this show with my family but this is just embarrassing and disgusting! If your show has to be this way, DONT TELEVISE IT!"
# 37952 55 - Super Bowl Half Time Show,2/3/2020 12:24:27 AM,"Tiburon, California 94920",,"The Half Time Show for the Super Bowl was in very poor taste. The costumes and dancing were not ""family friendly"" and pushed the decency envelope."
# 3795259 - Super Bowl halftime show,2/3/2020 12:29:46 AM,"White Pine, Tennessee 37890",,Halftime show not family friendly. What I saw was so disgusting for kids and especially grandkids. Why does it seem that families have to deal with this problem almost every year and nothing seems to be done
# 3795272 - Super Bowl Halftime Show,2/3/2020 12:50:49 AM,"Avon, Connecticut 060 01",,"The Super Bowl is family entertainment and should be rated ""G"". The half time show at Super Bowl LIV was anything but owing to scantily clad performers and overly suggestive dancing. It was certainly not appropriate for children and was also offensive to many adults. They made it even worse by bringing children on stage in the midst of this display. Hoping you can take action to not let this happen again."
# 3795275 - Fox Super Bowl LIV 2020 Halftime Show,2/3/2020 12:53:58 AM,"Saratoga Springs, Utah 84045",,"Good Evening: I was appalled at the indecency portrayed by the performances of Jennifer Lopez and Shakira during the most recent Super Bowl Halftime Show that aired 02/02/2020. Their acts were raunchy, hyper sexual, and inappropriate for public view. I am disgusted that this type of programming was allowed on p ublic television in front of millions of families. I am a father of three daughters and was embarrassed that they saw such an indecent portrayal. I turned the television off until halftime was over. I hope you will do something about it."
# 3795279 - Superbowl half time show,2/3/2020 1:04:56 AM,"Springboro, Ohio 45066",,"The half time show was degrading, obscene and vulgar It was NOT a family show and many children and young people were no doubt watching with their families.. Mine were and it was embarrassing to say the least."
# 3795281 - Super Bowl halftime,2/3/2020 1:05:49 AM,"Redding, California 96003",,"show left our family feeling very disappointed. The half time shows need to have tv ratings as it is not appropriate family viewing to see pole dancing, cro tch grabbing and extreme booty shaking."
