Ticket,Date,Location,Company Complaining About,Description
# 3795658 - Super Bowl Half - time Show,2/3/2020 9:44:25 AM,"Woodstock, Georgia 30189",,Completely inappropriate for families. Orgy simulation by backup dancers. Camera zooming in on private areas of performers. Inappropriate attire by performers.
# 3795659 - Super Bowl 2/2/2020,2/3/2020 9:44:43 AM,"Buffalo Grove, Illinois 60089",,The Fox Super Bowl half - time show was totally disgusting and offensive. Who wants to stare at somebody's crotch or rear end? How can they put this on when children are watching. It was like a porno show. Fox needs to be fined for this so it doesn't happen again.
# 3795669 - Jennifer Lopez halftime show - Superbowl 54,2/3/2020 9:49:07 AM,"Orange, California 92865",,"This was an inappropriate, filthy, and indecent halftime presentation to the point that I shut off the tv for the entire halftime show, knowing that it would be indecent based on previous years. Come t o find out through articles that I was right and am compelled to complain. Such filth has no place on tv. I am asking you to hold Fox accountable!"
# 3795692 - Super B owl halftime show,2/3/2020 9:53:40 AM,"Hemingford, Nebraska 69348",,"Whelp, I Guess pole dancing, butt, and crotch shots are standard fare now. I am so disgusted with how these shows keep getting worse and worse and you guys just sit on your butts and enjoy it."
# 3795693 - Super Bowl Halftime Show,2/3/2020 9 :53:45 AM,"Hillsboro Beach, Florida 33062",AT&T,The performances and photography of the halftime show was obscene and an insult to all women and families. Where is the censor?
# 3795695 - Super bowl halftime show,2/3/2020 9:54:31 AM,"Duson, Louisiana 70529",Cox,"No where close to family friendly. If I want to watch J Lo dance on a p ole almost naked then I would have watched her last movie. However, I didn't watch that garbage movie and definitely didn't want to see it at halftime during a FOOTBALL game while my kids were watching. What is wrong with people!?!?!?"
# 3795704 - Super Bowl 2020 halftime show,2/3/2020 9:56:56 AM,"Madison, Alabama 35758",,"It is sad that this is where we are in entertainment. The entire group I was with was floored by the Satan Worship performance. May God Bless our lands and may the people in control of the content our family watched programming use more sense. People can go to strip clubs all over the world, where children are not allowed in. So why where children allowed to go to the superbowl, and the tv should have warned parents of the X rated half time show. I no longer respect J.Lo."
# 3795706 - Superbowl 1/2 time show,2/3/2020 9:57:20 AM,"Manassas, Virginia 20110",,Superbowl 1/2 time show was an overly sexualized performance with scantily - clad dancers that included crotch - grabbing and suggestive pelvic thrusts.
# 3795709 - Adult Content on Prime Time TV - Superbowl Halftime,2/3/2020 9:57:56 AM,"Gotha, Florida 34734",,"Close up shots of women crotch area, dressed in adult costume, motions gyrating imitating sexual positions, classless!! Embarrassing, had to send 11yo daughter out of the room. PLEASE LEVY FINES ON FOX for highly sexually charged show being displayed to young girls trying to learn the meaning of being respected for their talents & minds, and not for performing like a stripper. Disgusting, terrible message for young women & INDECENT"
# 3795713 - 2020 super bowl halftime,2/3/2020 9:58:49 AM,"Murray, Iowa 50174",,"Sexually graphic and indecent content! We had to send our kids out of the room. The ladies were not performing a musical act, they looked like they were performing at a strip club."
# 3795717 - Super Bowl Half Time Show,2/3/2020 9:59:43 AM,"Denville, New Jersey 07834",,"I realize the FCC may not have been aware of the exact contents of the Super Bowl Half Time Show, but for the future I think this should be more of a concern for the FCC. I sat with my husband and two daughters, ages 9 and 11, to watch the Super Bowl in 2020 and enjoy the half time show. As we were watching the show, all four of us were in complete and utter shock by not only the racy outfits, but by the pole dance, crotch shots, and inappropriate behavior"
# 3795726 - Half time show 2020 offensive,2/3/2020 10:01:48 AM,"Cadott, Wisconsin 54727",,The halftime show was completely disgusting and not family - friendly at all. The dancers were half naked and the cameras were zooming in on their rear ends while they shook them them in our faces. need to be evaluated. J - lo even bent over and exposed her entire rear end in a thong and spread her legs with a tiny piece should be fined hefty for this. What are you teaching young girls? Dance around half naked to make d shake your naked rear end and expose your crotch and dance on a pole in front of the world?
# 3795734 - Superbowl Halftime Show 2020,2/3/2020 10:02:36 AM,"Dayton, Ohio 45458",,"Please hold Fox Network accountable for an obscene & sexualized Superbowl Halftime Show. The show was not family friendly. It was a s triptease show that included little girls in white dresses along side an indecently dressed Jo - Lo, stripper poles, twerking, tongue flicking etc. It was an embarrassment & shameful show that families gathered to watch. We would love for you to fine Fox."
# 3795746 - Super Bowl Halftime Show,2/3/2020 10:04:52 AM,"El Paso, Illinois 61638",,The 2020 Super Bowl Halftime Show was a vulgar display of indecent behavior that is not acceptable for children.
# 3795750 - Super Bowl Halftime Show Obscene,2/3/2020 10:05:42 AM,"Branford, Connecticut 06405",Frontier Communications,"Hyper sexualized display of nudity, simulated sex violating almost every FCC decency standard. If Janet Jackson's wardrobe malfunction was fined, this strip club performance warrants a 7 figure penalty."
# 3795751 - Super Bowl Halftime show,2/3/2020 10:06:16 AM,"Rindge, New Hampshire 03461",,"The Super Bowl halftime show featuring Jennifer Lopez was gross and obscene during a time in which children were watching TV. Also, children took part in this disgusting show. This was offensive. Fine the broadcaster and ensure it doesn't happen again, like it did in 2004."
# 3795769 - NFL halftime porn show,2/3/2020 10:11:06 AM,"Fort Myers, Florida 33908",,"I was sad for America that are standards have fallen so far that our children are now exposed to close up crotch shots, pole dancing with an orgy being simulated belo w Lopez. From start to finish, both Shakira and JLo did nothing but cause harm to our society. If there is no consequences from the FCC, then there might as well not be one. And they will only get my outrageous. Fine the hell out of Fox. Send a message to our children."
# 3795770 - content,2/3/2020 10:11:42 AM,"Waterville, Pennsylvania 17776",,the half time for the superbowl was discriminatory not family friendly also no consideration for the #metoo movement crotch grabbing camarea angles at inappropriate angles is not fami ly friendly.
# 3795775 - Super Bowl Halftime show 2/2/2020,2/3/2020 10:12:51 AM,"Madison, New York 13402",,This pornographic extravaganza during Prime Time viewing was vulgar in the extreme for any family watching. Whoever approved this repulsive exhibition of the objectification women BY women should be fired and the company fined!
# 3795778 - J Lo Super Bowl Half Time Show,2/3/2020 10:13:18 AM,"Mount Dora, Florida 32757",Comcast,"J Lo's Super Bowl Half Time Show was indecent and vulgar. It was unsuitable for ANY viewers, much less younger ones (who I sent out of the room). She was barely covered; and her choreography was stripper - worthy. Th e NFL should be FINED!!!"
# 3795782 - Half time Super Bowl show,2/3/2020 10:14:29 AM,"Montrose, Michigan 48457",,"This show was inappropriate for family viewing during prime time. There were pole dancing, barely clad dancers and close up shots of the dancers butts and crotches. Disgusting and appeared to be soft po rn prime time."
# 3795788 - Super Bowl halftime,2/3/2020 10:15:09 AM,"Provo, Utah 84601",,"I was disgusted by the super bowl halftime. I had young kids who were watching. We learned our e there to be sex objects. Although I love the Latin diversity, it could have been done with more taste so I am not squirming to get my kids away from the tv."
# 379579 5 - super bowl 2020 half - time show,2/3/2020 10:16:18 AM,"Charles Town, West Virginia 25414",,"To put in 3 - 5 sentences the depth of my heartsickness about the prime time broadcasting of degrading soft porn masquerading as appropriate entertainment during one of the most watched TV broadcasts by all ages is hardly possible. It was as if we loaded up the kids and all went to a strip club together! Exce pt that we didn't have to go anywhere because the FCC deems this appropriate to come to US in the form of family entertainment. ""Just turn it off"" you will say. I am going to the source that can do just that."
# 3795797 - Super Bowl Halftime,2/3/2020 10:16:35 AM,"Pelican Rapids, Minnesota 56572",,"The SuperBowl h alftime show was extensively R rated - basically a porn show featuring a pole dancer. The costumes were replicas of ones used in striptease bars. It was highly offensive and incredibly inappropriate for a family audience. Further, it was all intentionally done this way. During a family watched football game, this should have a flag and a huge game - changing penalty."
# 3795804 - Halftime show,2/3/2020 10:17:02 AM,"Three Lakes, Wisconsin 54562",,Completely inappropriate and offensive for a prime time airing on a family friendly program. I was embarrassed for myself and my 15 year old son watching along with his grandparents. This was not acceptable
# 3795805 - Patently offensive content,2/3/2020 10:17:03 AM,"Independence, Ohio 44131",,"Aired halftime show of Super Bowl LIV was horribly offensive and included material unsuited for minors, including simulated orgasms, performances on ""stripper poles"" and consistent camera shots of barely clad female performers' nether regions."
# 3795809 - Half Time Show,2/3/2020 10:17:23 AM,"Leechburg, Pennsylvania 15656",,I was disheartened by the super bowl hal f time show. I did not think it was family friendly. It appeared
# 3795810 - Super Bowl H alf Time Show,2/3/2020 10:17:28 AM,"Herriman, Utah 84096",,The explicit sexual content displayed during the half time segment of the Super Bowl was disgusting. This content was in my opinion X rated and should be restricted to adult viewers only. My grandchildren ranging from age 7 to 18 were watching and I had to turn the channel. Both FOX Network and the NFL need to be severely chastised and fin ed.
# 3795816 - Super Bowl halftime,2/3/2020 10:18:22 AM,"Fairmont, West Virginia 26554",,"Over sexualized, inappropriate for children and families. Too little clothing. Too much butt shaking. Simulated orgy."
# 3795838 - Super Bowl halftime show,2/3/2020 10:23:47 AM,"Monroe, North Carolina 28110",,"Dear FCC, I'm so disappointed in the NFL, Pepsi, and Fox Sports for their raunchy, low - class half - time show. For so many of us, the Super Bowl is a family entertainment affair and is no place for stripper poles, crotch - grabbing, and hyper - sexualization. My family and I literally said to one another, ""What the hell were they thinking?"", and then we turned off our TV. Please consider punitive action against the NFL, Pepsi, Fox Network, and even the title performers for their lewd performance. And, please consider updatin g or amending the FCC's decency standards to prevent this trash from being broadcast during the largest family television event of the year. Thank you,"
# 3795839 - Super Bowl Halftime Show,2/3/2020 10:23:52 AM,"Palatine, Illinois 60067",,"I felt that the halftime show was completely inappro priate for children. Way too sexualized and indecent with barely covered butts, crotches, humping, and a stripper pole. I feel there should be a fine and certainly higher standards."
# 3795847 - Super Bowl half time show,2/3/2020 10:24:42 AM,"Newberg, Oregon 97132",,"The half time show featuring Jennifer Lopez was a tasteless, inappropriate, and gratuitous display of flesh. This event was in no way family friendly. I demand that FOX be heavily fined for this indecent display!"
# 3795850 - Super bowl,2/3/2020 10:24:55 AM,"Tucson, Arizona 85749",,Watching the super bowl with my 8 yr old and I had to turn off the halftime show. Why do we need to soft core porn
# 3795860 - 2020 Superbowl Halftime Show -,2/3/2020 10:25:38 AM,"Mansfield, Texas 76063",,"The simulated sex, actual pole dancing, and view's of Jennifer Lopez's crotch and butt was entirely inappropriate for prime - time viewing. This is NOT acceptable and s hould not have been broadcast. What could be done? Do your job. Fine the network. Explain to the NFL and Fox what is acceptable."
# 3795862 - Super Bowl Half Time Show,2/3/2020 10:26:00 AM,"Plainfield, Indiana 46168",,The sexually charged 2020 Super Bow Half Time show from both J Lo & Shakira was the most inappro priate since Timberlake/Jackson show. The crotch shots & J Lo dancing on a stripper pole is not family entertainment. I think the network should be fined minimally.
# 3795864 - Super bowl 2/4/20,2/3/2020 10:26:39 AM,"Wilding, Idaho 83676",Nfl,Halftime show - jennifer lopez stripper po le actions was beyond disbelief. NFL should be ashsmed
# 3795868 - Indecency at superbowl halftime show,2/3/2020 10:27:05 AM,"Munster, Indiana 46331",Roku - Fox Sports Channel,"The superbowl is advertised as a family friendly event but the halftime show was anything but that. The network broadcast nonstop crotch shots of the 2 singers in their assless pants on stripper poles. The FCC has regulations regarding this, enforce it! Fine the broadcaster FOX for doing such a disgusting thing. awe had to turn the program off"
# 3795870 - Super Bowl half time show,2/3/2020 10:27:17 AM,"Whitinsville, Massachusetts 01588",,"Inappropriate content during the Super Bowl half time show. X rated and hyper sexual and suggestive. This is inappropriate for what is considered or should be a family - friendly event. If you want this type of tr ash, go to a strip club."
# 3795872 - Super Bowl Halftime Show,2/3/2020 10:27:27 AM,"Edmond, Oklahoma 73034",,"The vagina grabbing, demeaning of females has to stop. This is a family show not a sexual predator show. Next time just show Robert Krafts message parlor videos!"
# 3795880 - Halftime show,2/3/2020 10:29:56 AM,"Woodbury, Minnesota 55125",AT&T,Shakira and Jennifer Lopez put on a sleazy show with cleanups of their crotches. Enough!
# 3795899 - Superbowl Halftime Show,2/3/2020 10:33:04 AM,"Jacksonville, Florida 32223",,How could that be allowed to have happen? I was so uncomfortable watching it with my ch ildren. Please do not allow such vulgarity on TV during a family event such as the Superbowl. The behavior of both artists is NOT acceptable.
# 3795903 - Superbow l game halftime show was VULGAR,2/3/2020 10:33:27 AM,"Woodlawn, Virginia 24381",,"Women rubbing crotch, humping, vulgar moves. We have children watching this show, teens. Does not the FCC Have any CONTROL over Hollywood??????"
# 3795904 - Indecency,2/3/2020 10:33:37 AM,"Shawnee, Kansas 66216",,"NFL 2020 SuperBowl halftime show, explicit simulated sex acts enhanced by costumes designed to draw attention to them, during a time when millions of children are watching: this is not family fare. in your purview to administer sizable enough fines to broadcasters to stop this."
# 3795907 - Super Bowl Halftime,2/3/2020 10:33:53 AM,"Dallas, Tex as 75225",Fox,"The Super Bowl Halftime Show was too graphic in displaying body parts and simulated sex acts. This is not how we empower girls and teach boys to respect women. Tell the NFL to clean it up or to broadcast the game after 10pm with a warning about pornographic content. https://pjmedia.com/lifestyle/nfl - gross - out - halftime - show - featuring - jennifer - lopezs - a - should - result - in - harsh - fines - for - fox/ Thank you, Dallas, TX"
# 3795909 - 2020 Halftime Show,2/3/2020 10:34:01 AM,"Shelby, North Carolina 28150",,"The JLo portion of the halftime show was degrading to women. The crotch shots and full ass shots should be disallowed as this is not suit able for family viewing. Please do not allow this kind of adult entertainment during a family program, or consider putting a pre - show warning that it contains adult content."
# 3795913 - Superbowl Halftime Show,2/3/2020 10:34:24 AM,"Flowery Branch, Georgia 30542",Nfl,"I am incensed that the NFL thought it was ok to show that J - Lo performance. It is outrageous that they, knowing the super bowl is being watched by mixed company and children, to have such a lewd performance as that! Does the FCC no longer enforce decency standards? Is this the new norm. I am outraged."
# 3795926 - Superbowl halftime show,2/3/2020 10:36:28 AM,"Springfield, Virginia 22151",,"The Superbowl halftime show was completely obscene and not appropriate for television at that hour when children are clearly watching. The performance included pole dancing in lingerie, exposed but t cheeks, crotch shots, and scantily clad women gyrating everywhere."
# 3795927 - Super Bowl Halftime Show,2/3/2020 10:36:33 AM,"Rochester, New York 14624",,"all accounts I read after, it was nothing more than soft core porn with barely clothed women suggestively gyrating and camera angles most always aimed at the crotch. NOT appropriate for family viewing. Fine the NFL. Fine FOX. DO SOMETHING."
# 3795928 - Super Bowl half time performance,2/3/2020 10:36:40 AM,"Lexington, South Carolina 29072",,"The performance during the half time show was raunchy, lewd and not at acceptable for all viewing audiences. The cameras were relentless with the nonstop crotch shots and hip thrusts of the performers, which viewed on a large s creen TV left little to the imagination. The scantly clad butt shots of JLo, especially when she turned to the cameras and bent over, was nothing short of hard porn. Her pole dancing was despicable as the barely dressed dancers beneath her simulated an o rgy. None of this is acceptable for Prime Time TV. The NFL and performers need to be fined in accordance with the law."
# 3795929 - Disgusting Super Bowl halftime sho w,2/3/2020 10:36:53 AM,"Morgan, Utah 84050",Directv,That was an AWFUL halftime show. My whole family gathered around th e watch the game and back on. SO DISGUSTING!!!
# 3795932 - Half time Super Bowl LIV (54) horrible nasty demonic display of women,2/3/2020 10:38:22 AM,"Mcminnville, Oregon 97128",,Football game was great/ Entertainment was a disgraceful display of nasty women scantily dressed poledancer/ pelvis thrusting & twat shots/ perversion display a disgrace for prime time event / Absolutely horrid display modeled to pervert children/ major sick display/ Hollywood Now disgrace.
# 3795935 - The Pepsi Super Bowl 54 (2020) Halftime Show per formance by Shakira and Jennifer Lopez,2/3/2020 10:38:48 AM,"San Antonio, Texas 78245",,The suggestive crotch grabbing/stroking and thrusting in almost no clothing is not family friendly entertainment. The performance by Jennifer Lopez in mounting a str ipper pole and bending over rear end facing the camera why wearing little more than a thong was absolutely abhorrent. This performance was far worse than the nipple slip by Janet Jackson a few years back. In addition to all the sexually suggestive and ex posed skin all while children are on stage and in the background as well as the millions of children watching is exposing America's youth to oversexualized themes that are not appropriate or in line with the FCC's viewing regulations for prime time televis ion broadcasts. Fine the NFL and require approval of major television broadcast live performances in their entirety.
"# 3795949 - February 2, 2020 Superbowl Half - time show",2/3/2020 10:41:43 AM,"Fort Collins, Colorado 80525",Comcast,"The dancing during the Superbowl LIV half - time show wa s inappropriate for my family with vulgar dance moves, scantily covered private body areas centered on the TV screen, and objectionable pole dancing. This is not appropriate for a prime time sporting event."
# 3795951 - Super Bowl Half Time Show,2/3/2020 10:42:10 AM,"Charlotte, North Carolina 28270",,indecent with close ups of her crotch and backside. Children are watching this program and the half time show should being rated G - General Audience. Please find or set up a policy to review wardrobes in advance.
# 3795956 - Super Bowl half time show,2/3/2020 10:42:47 AM,"Litc hfield Park, Arizona 85340",,The half time show of the Super Bowl was vulgar and indecent. Jennifer Lopez's performance in particular was gross. While wearing a thong s he frequently turned her rear to the camera while spreading her legs so that he only thing keeping her from showing her anus to millions was a tiny piece of black stocking. She did a pole dance routine while her backup dancers below her appeared to be enga ging in a fake orgy. I have two children and the Super Bowl is supposed to be family entertainment. Instead it was shocking and disgusting and I believe the Fox network should pay a price for putting that spectacle on the air.
# 3795960 - Super Bowl Halftime Show 2020,2/3/2020 10:43:16 AM,"Mesa, Arizona 85213",,"I nappropriate family viewing without any warning. The Super Bowl half time show was offensive for young viewers and quite frankly me too, due to its sexual content. A TV - 14S advisory should have been posted."
# 3795961 - Inappropriate half time show,2/3/2020 10:43:17 AM,"Lynbrook, New York 11563",,Inappropriate content during a family show featuring a stripper pole
# 379596 5 - Indecent Super Bowl Performance by Jennifer Lopez,2/3/2020 10:43:59 AM,"St Simons Island, Georgia 31522",AT&T,The S uper Bowl performance by Jennifer Lopez was indecent and should not have been aired during family hours on TV. The network should be fined.
# 3795972 - Super Bowl Half time,2/3/2020 10:44:33 AM,"Benbrook, Texas 76116",,Jennifer Lopez's outfit (and pole dance) were inappropriate for the Super Bowl when millions of kids were watching. Impressive and athletic? Sure. Appropriate for kids under 16? Definitely not. I shouldn't have to send my boys out of the room during the biggest football game of the year!
# 3795973 - super bowl half time show,2/3/2020 10:45:12 AM,"Lghthse Point, Florida 33064",,Fox should be fined for allowing this pornograhic show. It was disgusting and inappropriate for family viewing. All manner of sexual perversion on display performed by talentless no - bodies.
# 3795988 - Superbowl halftime,2/3/2020 10:50:24 AM,"Wilmette, Illinois 60091",,"Jennifer Lopez rubbed her private area on live TV. My kids saw this. Surely, this has to be over the line."
# 3795999 - Super Bowl Halftime Show,2/3/2020 10:53:26 AM,"Longwood, Florida 32750",,"The February 2 Super Bowl halftime show feature Shakira and Jennifer Lopez was over - sexualized with ""dancing"" featuring scantily - clad women gyrating and sexually thrusting. As a parent I was sickened and disgusted. Certainly this can not be ""normal"" stan dards of content for a national broadcast."
# 3796002 - super bowl half time show,2/3/2020 10:53:58 AM,"Greensboro, North Carolina 27408",Spectrum,"outrageaous ""costumes"" that might as well have NOT been attached to vagina and anus areas of J L opez! Camera angles were zoomed in on both females hips and genital areas. Was appalled that TV censors did not preview and or curtail that gross, embarrassing half time ""show"""
# 3796011 - Super bowl halftime show,2/3/2020 10:55:25 AM,"Aubrey, Texas 76227",,"The superbowl halftime show with Jennifer Lopez was v ulgar, explicit and extremely offensive. It sexually objectified women, it did not in any way empower women. It made them appear to be only worthy as sex slaves. There were multiple gratuitous shots of clearly exposing all but the central portions of her v agina and her anus. This is clearly a violation of broadcast standards for primetime public viewing of a family sport. The FCC must step up and do their job of preventing thoughtless people from visually assaulting the public for their own profit. This was and is disgusting."
# 3796013 - Super bowl half time show,2/3/2020 10:55:36 AM,"Rochester, New York 14624",Spectrum,"As a consumer, I was appalled and dismayed over the pornigraphic half time show that was aired last evening, February 2, 2020. Families such as mine, young and old, gathered for an evening of food, fun and game viewing. The half time show was so sicke ning that we were forced to turn to another channel to avoid the magnitude of disgust displayed on our screen. It amazes me how conservative ads are banned but filth is encouraged. Please for the sake of all that is good and wholesome, consider the format and content of future superbowl programming. It really was disgusting and disappointing at best."
# 3796016 - FOX Superbowl halftime orgy,2/3/2020 10:56:31 AM,"Elon, North Carolina 27244",,"Seriously... must we put up with this garbage on national TV during a sporting event? When you feel compelled to send your c hildren to the kitchen for ""snacks"" and have to turn off the TV because of a breech in moral decency there is something wrong with viewing standards. J - Lo and company just joined the likes of Janet Jackson and the other bottom feeders... and they call it "" empowerment""????"
# 3796021 - Wicked Super Bowl Halftime Show,2/3/2020 10:57:20 AM,"Hartsville, Tennessee 37074",Comcast,I am a mom with children and was TOTALLY DISGUSTED at pornographic half - time show !!!! With Sex Trafficking and other horrors in this Nation....WHAT ARE YOU THINKING !!!! Clean up your act!!!!
# 3796022 - Superbowl halftime show,2/3/2020 10:57:35 AM,"Cleveland, Tennessee 37323",,"The halftime show at this year's Superbowl reached a new low in decency. The stripper pole, nearly non - existent wardrobe and simulated sex onstage were disgusting."
# 3796027 - Super Bowl Half Time Show / NFL / Fox Broadcasting,2/3/2020 10:58:32 AM,"Manistique, Michigan 49854",,Totally outrageous stripping onstag e in front of a young audience exposing all body parts covered by barely a string including the labia and the anus and zooming in and out with the camera. I was forced to change the channel. I want to file or be a party to a legal action so that this never happens again during a sporting event that children are a big part of the audience.
# 3796029 - Super Bowl Halftime Show 2020,2/3/2020 10:59:22 AM,"Blaine, Minnesota 55449",Fox,while she per formed spread eagle for most of the show. Not to mention the glorification of strippers network television with young children present.
# 3796032 - NFL Super Bowl halftime,2/3/2020 10:59:55 AM,"Shawnee, Kansas 66216",,"The halftime performance by J - Low was what at one time would have Ben called X rated. This was not for prime time viewing. They may have been practicing their strip club routine, including pole dancing. If I want to see that I will take my wife and chi allowed in would they?"
# 3796038 - halftime show,2/3/2020 11:01:31 AM,"North Hollywood, California 916 02",,"The halftime show was too explicitly sexualized to be decent for broadcast. Particularly at that hour, people have children watching a football game with family a nd friend with family. Ms. Lopez exposed too much of herself in that costume and the camera(s) focused on her crotch. The dancers backing her up were also performing moves that insinuated sex. Children had to be distracted by their parents and some were sent from the room."
# 3796041 - SuperBowl Half time,2/3/2020 11:01:54 AM,"Cedar Hill, Texas 75104",Spectrum,"It is disgusting and embarassing that the ""A&&"" shot made of Jennifer Lopez was permitted. What does this crap have to happen? These people who ever is responsible, including Jennifer Lopez, should pay a big fine and never be allowed to participate on live TV again. I feel sorry for parents who have small children watching this crap. Maybe YOU should just ban the half time show. FOX should be ashamed!!"
# 3796054 - Superbowl Halftime Show,2/3/2020 11:04:57 AM,"Rowlett, Texas 75089",,Our family found the NFL Superbowl Halftime Show to be excessively sexually graphic. Example: and artist pretending to lick a dildo. This segment should be programmed for a general audience and it most certainly was not. Thank you for listening. - Note: Our online AT&T cable service does not display channel numbers.
# 3796060 - Super bowl disgusting show,2/3/2020 11:06:12 AM,"Upp er Arlington, Ohio 43220",,"Super Bowl halftime show was inappropriate. Children watch the Super Bowl and the halftime show was overtly sexual. Crotch grabbing, pole dan cing, and the appearance of a orgy below. Shameful to have this on prime time tv."
# 3796071 - super bowl 2020 jennifer lopez,2/3/2020 11:07:36 AM,"Fort Lee, New Jersey 07024",,J Low. is exactly right! but the NFL is even lower. PLEASE never do this again. It was very degrading to female fans.
# 3796081 - Super Bowl Halftime Show,2/3/2020 11:08:48 AM,"Wilmington, North Carolina 28409",,The halftime show was completely inappropriate for children and quite frankly any moral adult. It sexual nature amounted to soft core porn.
# 3796087 - Half time supe r bowl show,2/3/2020 11:09:15 AM,"Albuquerque, New Mexico 87122",,What the heck are we teaching our children.
# 3796088 - Superbowl Halftime Show,2/3/2020 11:09:22 AM,"Byron Center, Michigan 49315",,"Totall y embarrassed watching halftime with my kids and wife, let alone how offensive it was to me. This was outrageous and pornographic in nature, totally disgusting. What is the NFL or FOX going to do about this. I love football, but not that much, not worth it to me. Depending on what happens with this occurrence and who is next years show, i will ban it!"
# 3796098 - Fox NFL Superbowl Halftime show,2/3/2020 11:11:3 5 AM,"Layton, Utah 84040",,"The half time show aired 2/2/2020 was disgusting. The clothes, dancing, crotch and butt shots were something you witness at a strip club and should not be aired nationally on a television show that CHILDREN are watching! I was disgusted that this was allow ed to happen."
# 3796102 - Disgusting and inappropriate super bowl halftime show,2/3/2020 11:12:26 AM,"La Grange, Illinois 60525",Comcast,was watching with my 8 yo daughter and was so embarrassed by the thong outfit and the pole dancing. What kind of example does this set for our young child ren who enjoy watching super bowl halftimes?! Disgusting this is allowed!
# 3796110 - Obscene and Raunchy Half - Time Performance (J - Lo Crotch),2/3/2020 11:13:49 AM,"Albuquerque, New Mexico 87110",,"I had to have my children leave the room as soon as J - Lo slid up to the camera on her knees, explicitly displaying he r barely covered vagina. HOW DARE the network allow the sexually objectification of women. Gyrating and grabbing her crotch, where is the network going with this move? I am ashamed for J - Lo. And to bring out those girls, what a sad moment for women everywh ere. a"
# 3796111 - Superbowl LIV half - time show on Fox network on 2/2/2020.,2/3/2020 11:14:05 AM,"Anacortes, Washington 98221 - 8694",AT&T,This show was lewd and completely unacceptable for broadcast during prime time when children might be watching. There should be negative consequences such as fines for those who violate FCC rules.
# 3796114 - Obscene and Raunchy Half - Time Performance (J - Lo Crotch),2/3/2020 11:14:20 AM,"Albuquerque, New Mexico 87110",,"I had to have my children leave the room as soon as J - Lo slid up to the camera on her knees, explicitly displaying her barely covered vagina. HOW DARE the network allow the sexually objectification of women. Gyrating and grabbing her crotch, where is the network going with this move? I am ashamed for J - Lo. And to bring out those girls, what a sad moment for women everywhere. a"
# 3796116 - Obscene and Raunchy Half - Time Performance (J - Lo Crotch),2/3/2020 11:14:33 AM,"Albuquerque, New Mexico 87110",,"I had to have my children leave the room as soon as J - Lo sli d up to the camera on her knees, explicitly displaying her barely covered vagina. HOW DARE the network allow the sexually objectification of women. Gyrating and grabbing her crotch, where is the network going with this move? I am ashamed for J - Lo. And to b ring out those girls, what a sad moment for women everywhere. a"
# 3796118 - Obscene and Raunchy Half - Time Performance (J - Lo Crotch),2/3/2020 11:14:47 AM,"Albuquerque, New Mexico 87110",,"I had to have my children leave the room as soon as J - Lo slid up to the camera on her knees, explicitly displaying her barely covered vagina. HOW DARE the network allow the sexually objectification of women. Gyrating and grabbing her crotch, where is the n etwork going with this move? I am ashamed for J - Lo. And to bring out those girls, what a sad moment for women everywhere. a"
# 3796142 - NFL HALFTIME SHOW Jan 2020 Fox,2/3/2020 11:20:18 AM,"Stratham, New Hampshire 03885",,The NFL halftime show last night was pornographic and insulting to families and those of us who support wholesome values. The NFL lip services respect for families and women but their commitment to that halftime show reveals the underlying culture in the NFL. I am disgusted that I was subjected to it. Fox and the NFL should be fined.
# 3796147 - Superbowl half time,2/3/2020 11:21:48 AM,"Leander, Texas 78641",AT&T,I threw a Superbowl party for my friends and neighbors. Unfortunately there was a porn show broadcast in the middle of the game! There was no notification prior to the show that it was inappropriate for children .
# 3796163 - Super Bowl halftime show Jennifer Lopez back side,2/3/2020 11:26:10 AM,"Hanover, Pennsylvania 17331",Comca st,
# 3796171 - NFL HALFTIME SHOW,2/3/2020 11:27:24 AM,"Kernersville, North Carolina 27284",,inappropriate. People attending our party left the room embarrassed. This type of vulgarity should not be on television for young impressionable youth to be subject to. What a horrible message to send to little girls that this is what men want to see.
# 3796180 - Superbowl LIV Halftime Show,2/3/2020 11:29:21 AM,"Nashville, Indiana 47448",,The have time show was akin to soft porn. Disgusting!! I love football but do not want to see Jo Lo's genitals. This is not entertainment. It is very disappointing that this behavior is allowed to be broadcasted on FOX on any network
# 3796181 - Superbowl 54 Half Time Show,2/3/2020 11:29:26 AM,"Gaithersburg, Maryland 20882",,Superbowl 54 Half Time Show Offensive for children during a tv event.
# 3796182 - Shakira's Tongue,2/3/2020 11:29:58 AM,"New York, New York 10014",,"I was watching the Super Bowl and all of a sudden, I'm bombarded with Shakira's tongue and her hips.... and it was awesome. Former Deadspin folks, fight on."
# 3796183 - Gross halftime show,2/3/2020 11:30:33 AM,"Turnersville, New Jersey 07012",,absolutely sick!! How inappropriate to have a slit on a stripper pole while millions of families a re watching. Total disappointment
# 3796189 - Super Bowl Half - time Show,2/3/2020 11:32:25 AM,"Grand Marsh, Wisconsin 53936",,The half - time show that the NFL put on during the Super Bowl was pornographic! As a long - time viewer of NFL games I was disgusted and insulted. Please look into this as football - loving families and children watching did not deserve this!
